idcliente,zona,pais,tipodeproducto,canaldeventa,prioridad,fechapedido,idpedido,fechaenvio,unidades,preciounitario,costeunitario,importeventatotal,importecostetotal
C6920,Europa,Portugal,Snacks,Offline,CrItica,11/03/2021,692054402,20/03/2021,3131,152.58,97.440002,477727.97,305084.63
C5468,Europa,Spain,Verduras,Offline,CrItica,16/11/2021,546849906,11/12/2021,3894,154.06,90.93,599909.63,354081.41
C5839,Africa,Cote d'Ivoire,Bebida,Offline,Baja,11/03/2021,583977258,25/04/2021,703,47.450001,31.790001,33357.352,22348.369
C9128,Europa,Russia,Alimento infantil,Online,CrItica,13/06/2020,912860286,10/07/2020,4499,255.28,159.42,1148504.8,717230.56
C3632,Australia y OceanIa,Federated States of Micronesia,Ropa,Offline,Media,15/05/2021,363235318,25/06/2021,8257,109.28,35.84,902324.94,295930.88
C5351,Africa,The Gambia,CArnicos,Offline,Alta,11/10/2021,535151183,24/11/2021,1982,421.89001,364.69,836186,722815.56
C8489,Europa,Luxembourg,Frutas,Offline,Alta,7/10/2022,848969209,15/10/2022,7710,9.3299999,6.9200001,71934.297,53353.199
C7953,Africa,Liberia,Frutas,Offline,CrItica,15/07/2021,795363223,30/08/2021,4507,9.3299999,6.9200001,42050.309,31188.439
C3853,Africa,Burundi,CosmEticos,Offline,CrItica,1/06/2021,385319554,27/06/2021,3474,437.20001,263.32999,1518832.8,914808.44
C6001,Africa,Syria,Cereales,Offline,Alta,2/11/2021,600137031,15/11/2021,2739,205.7,117.11,563412.31,320764.28
C2414,NorteamErica,United States of America,Ropa,Offline,Alta,24/08/2022,241426980,24/09/2022,2463,109.28,35.84,269156.63,88273.922
C8811,Asia,Japan,Alimento infantil,Offline,Baja,24/08/2022,881113231,5/10/2022,9840,255.28,159.42,2511955.3,1568692.8
C1114,Asia,Laos,Frutas,Offline,Baja,22/01/2021,111432111,14/02/2021,4093,9.3299999,6.9200001,38187.691,28323.561
C9949,Europa,Germany,Verduras,Online,CrItica,14/10/2021,994932448,23/11/2021,1476,154.06,90.93,227392.56,134212.69
C8144,NorteamErica,Greenland,Cuidado personal,Online,CrItica,23/07/2020,814475572,10/08/2020,276,81.730003,56.669998,22557.48,15640.92
C5232,CentroamErica y Caribe,Jamaica,CArnicos,Offline,Alta,26/08/2020,523235309,20/09/2020,5810,421.89001,364.69,2451181,2118849
C6946,Europa,Switzerland,Verduras,Online,Media,13/01/2020,694697988,23/02/2020,5427,154.06,90.93,836083.63,493477.13
C1726,Europa,Sweden,Material de oficina,Online,Media,10/05/2021,172662436,10/06/2021,3507,651.21002,524.96002,2283793.5,1841034.8
C1212,Africa,Liberia,Bebida,Online,Media,15/12/2021,121239984,13/01/2022,6460,47.450001,31.790001,306527,205363.41
C8748,Australia y OceanIa,Kiribati,Alimento infantil,Offline,Media,2/01/2021,874854457,4/01/2021,7730,255.28,159.42,1973314.4,1232316.6
C5882,Europa,Malta,CArnicos,Online,Media,6/12/2020,588242185,10/01/2021,2789,421.89001,364.69,1176651.3,1017120.4
C1864,Asia,Philippines,Cuidado personal,Online,Baja,12/04/2020,186451995,29/05/2020,4144,81.730003,56.669998,338689.13,234840.48
C2148,Africa,Comoros,Alimento infantil,Offline,Baja,8/11/2020,214845216,29/11/2020,6329,255.28,159.42,1615667.1,1008969.2
C3890,Europa,Liechtenstein,DomEstico,Offline,Baja,29/07/2020,389095675,30/08/2020,912,668.27002,502.54001,609462.25,458316.47
C9451,Africa,Lebanon,Cereales,Online,Baja,15/08/2020,945189702,29/08/2020,1492,205.7,117.11,306904.41,174728.13
C3894,NorteamErica,Greenland,Cereales,Offline,CrItica,22/02/2021,389426124,5/04/2021,8699,205.7,117.11,1789384.3,1018739.9
C4484,Africa,Chad,Cereales,Online,Media,13/09/2022,448416268,15/09/2022,5193,205.7,117.11,1068200.1,608152.25
C2190,Europa,Macedonia,DomEstico,Offline,Baja,15/12/2021,219083964,5/01/2022,668,668.27002,502.54001,446404.38,335696.72
C2186,Africa,United Arab Emirates,CosmEticos,Offline,Alta,12/09/2021,218665540,19/10/2021,6847,437.20001,263.32999,2993508.5,1803020.5
C1347,Africa,Qatar,Cereales,Offline,Alta,29/10/2020,134709823,25/11/2020,2485,205.7,117.11,511164.5,291018.34
C1750,Africa,Iraq,Verduras,Online,Alta,5/07/2021,175078141,5/08/2021,8367,154.06,90.93,1289020,760811.31
C6179,Europa,Kosovo,Material de oficina,Online,Baja,7/01/2022,617944324,4/02/2022,2312,651.21002,524.96002,1505597.5,1213707.5
C4617,Asia,Bhutan,CosmEticos,Offline,CrItica,12/01/2021,461794698,22/01/2021,4168,437.20001,263.32999,1822249.6,1097559.5
C5754,CentroamErica y Caribe,Cuba,Ropa,Offline,Alta,2/12/2021,575428092,10/12/2021,815,109.28,35.84,89063.203,29209.6
C5479,NorteamErica,Mexico,Alimento infantil,Online,Media,25/09/2022,547955834,9/10/2022,1163,255.28,159.42,296890.63,185405.45
C9388,Africa,Cote d'Ivoire,Bebida,Online,Media,1/07/2020,938801753,12/07/2020,1156,47.450001,31.790001,54852.199,36749.238
C1277,Africa,Nigeria,Cereales,Offline,Alta,20/03/2021,127702176,2/05/2021,8767,205.7,117.11,1803371.9,1026703.4
C1647,Australia y OceanIa,Vanuatu,Material de oficina,Offline,Alta,17/04/2021,164705932,31/05/2021,9000,651.21002,524.96002,5860890,4724640
C9201,Africa,Kuwait,Verduras,Offline,Baja,20/05/2020,920174348,30/05/2020,8893,154.06,90.93,1370055.6,808640.5
C5347,Africa,Namibia,CArnicos,Offline,Media,3/11/2022,534781253,30/11/2022,2512,421.89001,364.69,1059787.6,916101.25
C3695,Africa,Egypt,Verduras,Online,Baja,25/12/2021,369512975,5/02/2022,5955,154.06,90.93,917427.31,541488.13
C9556,Africa,Swaziland,Frutas,Offline,CrItica,15/07/2021,955668342,26/08/2021,2354,9.3299999,6.9200001,21962.82,16289.68
C6448,CentroamErica y Caribe,Antigua and Barbuda ,CArnicos,Offline,CrItica,8/10/2022,644858682,4/11/2022,6869,421.89001,364.69,2897962.5,2505055.5
C5590,Asia,Sri Lanka,Verduras,Offline,Alta,15/03/2020,559007823,18/04/2020,1692,154.06,90.93,260669.52,153853.56
C5403,Europa,Liechtenstein,Bebida,Offline,Media,15/03/2020,540352094,30/03/2020,1047,47.450001,31.790001,49680.148,33284.129
C5014,Africa,Angola,Material de oficina,Online,CrItica,20/05/2022,501440322,30/05/2022,6189,651.21002,524.96002,4030338.8,3248977.5
C8751,Asia,Brunei,DomEstico,Offline,CrItica,16/01/2021,875133836,6/02/2021,404,668.27002,502.54001,269981.09,203026.16
C3646,Australia y OceanIa,Samoa ,Ropa,Offline,CrItica,23/11/2020,364606463,2/01/2021,4010,109.28,35.84,438212.81,143718.41
C8933,Australia y OceanIa,Marshall Islands,Frutas,Online,Baja,30/04/2021,893344533,20/05/2021,9354,9.3299999,6.9200001,87272.82,64729.68
C8551,Africa,Democratic Republic of the Congo,Frutas,Online,CrItica,15/09/2020,855146872,20/09/2020,5818,9.3299999,6.9200001,54281.941,40260.559
C9641,Australia y OceanIa,Tonga,CosmEticos,Online,CrItica,30/08/2020,964124810,31/08/2020,4811,437.20001,263.32999,2103369.3,1266880.6
C2047,Africa,Mozambique,Snacks,Offline,CrItica,15/10/2021,204702174,17/10/2021,4777,152.58,97.440002,728874.69,465470.88
C7816,Africa,Kuwait,CArnicos,Online,Media,25/03/2022,781615293,10/04/2022,6189,421.89001,364.69,2611077.3,2257066.5
C4699,Europa,Romania,Bebida,Offline,Alta,16/12/2021,469912993,22/01/2022,6552,47.450001,31.790001,310892.41,208288.08
C2649,Africa,South Sudan,CosmEticos,Online,CrItica,9/05/2021,264956605,4/06/2021,5402,437.20001,263.32999,2361754.5,1422508.6
C3324,Asia,Malaysia,Snacks,Offline,CrItica,13/08/2022,332419955,12/09/2022,9307,152.58,97.440002,1420062,906874.06
C4582,CentroamErica y Caribe,Costa Rica,Snacks,Offline,Media,22/08/2022,458289372,30/08/2022,6864,152.58,97.440002,1047309.1,668828.19
C4988,Europa,Croatia,Cuidado personal,Online,Alta,25/02/2020,498863685,8/03/2020,3705,81.730003,56.669998,302809.66,209962.34
C8307,Asia,Nepal,Bebida,Offline,Baja,5/11/2022,830754220,7/11/2022,7490,47.450001,31.790001,355400.5,238107.09
C1008,Asia,Tajikistan,Alimento infantil,Online,Alta,1/04/2020,100884807,30/04/2020,2911,255.28,159.42,743120.06,464071.63
C1764,Europa,Serbia,CArnicos,Offline,Alta,17/04/2022,176491773,24/04/2022,6692,421.89001,364.69,2823288,2440505.5
C2951,Africa,Angola,CArnicos,Offline,Baja,25/09/2020,295123946,3/11/2020,2589,421.89001,364.69,1092273.3,944182.44
C2146,Asia,Japan,Cuidado personal,Online,Baja,7/01/2022,214642655,14/02/2022,6386,81.730003,56.669998,521927.78,361894.63
C6632,Europa,Iceland,CArnicos,Online,Media,21/02/2020,663221728,1/03/2020,903,421.89001,364.69,380966.66,329315.06
C1893,Europa,Cyprus,Ropa,Offline,Media,2/12/2020,189347493,21/12/2020,986,109.28,35.84,107750.08,35338.238
C1118,Australia y OceanIa,East Timor,Bebida,Offline,Alta,30/07/2020,111818778,23/08/2020,8516,47.450001,31.790001,404084.19,270723.63
C4697,Asia,Tajikistan,Material de oficina,Online,Baja,17/06/2021,469746911,28/07/2021,7405,651.21002,524.96002,4822210,3887328.8
C4725,Africa,Somalia,DomEstico,Online,CrItica,7/01/2022,472555720,3/02/2022,8594,668.27002,502.54001,5743112.5,4318829
C7499,Europa,Spain,Ropa,Offline,Alta,9/02/2021,749981534,11/02/2021,5057,109.28,35.84,552628.94,181242.88
C2020,Europa,Sweden,Cereales,Online,CrItica,12/04/2022,202073180,8/05/2022,6799,205.7,117.11,1398554.3,796230.88
C9491,Africa,Ethiopia,DomEstico,Offline,Baja,26/11/2020,949191987,15/12/2020,5857,668.27002,502.54001,3914057.5,2943376.8
C6820,Asia,Turkmenistan,Cuidado personal,Offline,Baja,4/10/2022,682011783,14/11/2022,1297,81.730003,56.669998,106003.81,73500.992
C3115,Europa,Malta,Ropa,Online,Baja,6/08/2022,311518895,21/08/2022,4219,109.28,35.84,461052.31,151208.95
C8190,Africa,Malawi,CosmEticos,Offline,Baja,16/09/2022,819012153,18/09/2022,2751,437.20001,263.32999,1202737.3,724420.81
C1061,Europa,Czech Republic,Material de oficina,Offline,CrItica,29/01/2020,106102883,28/02/2020,7056,651.21002,524.96002,4594938,3704117.8
C6447,Europa,Netherlands,CArnicos,Offline,Media,3/02/2022,644714915,10/02/2022,4325,421.89001,364.69,1824674.3,1577284.3
C9270,Europa,Sweden,Bebida,Offline,Baja,2/04/2022,927084577,16/04/2022,3783,47.450001,31.790001,179503.34,120261.57
C4157,Africa,Saudi Arabia,Verduras,Online,CrItica,6/08/2021,415760695,18/08/2021,1684,154.06,90.93,259437.05,153126.13
C8936,Africa,Turkey,Cereales,Online,Media,29/07/2021,893604600,29/08/2021,6314,205.7,117.11,1298789.8,739432.56
C6137,CentroamErica y Caribe,Dominican Republic,Ropa,Offline,Baja,12/08/2022,613790118,18/09/2022,2991,109.28,35.84,326856.47,107197.44
C1498,Asia,Uzbekistan,Cuidado personal,Offline,Alta,31/08/2022,149803578,7/09/2022,9063,81.730003,56.669998,740719,513600.22
C1454,Africa,Kuwait,Snacks,Offline,Media,14/07/2021,145443809,26/07/2021,8910,152.58,97.440002,1359487.8,868190.38
C8648,Australia y OceanIa,Federated States of Micronesia,Ropa,Offline,CrItica,9/04/2022,864822137,11/05/2022,8943,109.28,35.84,977291.06,320517.13
C8423,Australia y OceanIa,Samoa ,Material de oficina,Online,Alta,10/03/2021,842362391,14/04/2021,2606,651.21002,524.96002,1697053.3,1368045.8
C9328,Africa,Eritrea,Snacks,Online,Baja,18/09/2020,932800900,21/09/2020,5370,152.58,97.440002,819354.63,523252.81
C2611,Asia,Singapore,Alimento infantil,Online,Alta,3/04/2022,261186492,13/04/2022,9742,255.28,159.42,2486937.8,1553069.6
C2728,Africa,Mauritania,DomEstico,Offline,Media,23/11/2021,272880494,31/12/2021,257,668.27002,502.54001,171745.39,129152.78
C6835,Asia,Bhutan,Ropa,Online,Alta,30/05/2020,683556735,8/06/2020,8483,109.28,35.84,927022.25,304030.72
C8292,Africa,Republic of the Congo,Bebida,Online,Baja,5/11/2021,829201543,15/11/2021,8018,47.450001,31.790001,380454.09,254892.22
C1161,Europa,Germany,Bebida,Online,Media,18/08/2020,116113746,1/09/2020,9493,47.450001,31.790001,450442.84,301782.47
C2709,Africa,Tunisia ,Cereales,Offline,Media,6/03/2020,270904672,14/03/2020,5567,205.7,117.11,1145131.9,651951.38
C3904,Asia,Myanmar,Cereales,Offline,Media,7/01/2020,390498149,26/01/2020,5935,205.7,117.11,1220829.5,695047.88
C9921,Europa,Romania,CosmEticos,Offline,Media,28/01/2020,992130506,3/03/2020,2319,437.20001,263.32999,1013866.8,610662.25
C8633,Europa,Greece,Snacks,Offline,CrItica,10/02/2022,863350570,14/03/2022,3474,152.58,97.440002,530062.94,338506.56
C2120,Africa,Benin,CosmEticos,Offline,Baja,28/07/2022,212019670,29/07/2022,187,437.20001,263.32999,81756.398,49242.711
C2163,CentroamErica y Caribe,Jamaica,Material de oficina,Online,CrItica,5/08/2022,216311633,27/08/2022,274,651.21002,524.96002,178431.55,143839.05
C7747,Europa,Liechtenstein,DomEstico,Online,Alta,6/11/2020,774712789,11/12/2020,3585,668.27002,502.54001,2395748,1801605.9
C9560,NorteamErica,Greenland,Alimento infantil,Online,CrItica,17/09/2020,956021964,8/10/2020,6999,255.28,159.42,1786704.8,1115780.6
C3493,Europa,Romania,CosmEticos,Online,Alta,26/03/2020,349350488,19/04/2020,9428,437.20001,263.32999,4121921.5,2482675.3
C4141,Asia,China,CosmEticos,Online,Alta,26/02/2022,414122188,23/03/2022,6813,437.20001,263.32999,2978643.5,1794067.3
C4300,Australia y OceanIa,East Timor,DomEstico,Offline,Baja,17/01/2021,430073392,5/02/2021,7129,668.27002,502.54001,4764097,3582607.8
C6472,Europa,Albania,Cuidado personal,Online,Media,18/11/2021,647252929,28/12/2021,5380,81.730003,56.669998,439707.41,304884.59
C9360,Asia,Laos,Frutas,Offline,Alta,20/06/2021,936022126,24/07/2021,8602,9.3299999,6.9200001,80256.656,59525.84
C3370,Africa,Central African Republic,Material de oficina,Offline,Baja,17/04/2021,337054812,24/05/2021,864,651.21002,524.96002,562645.44,453565.44
C2113,Europa,Netherlands,CArnicos,Offline,CrItica,24/05/2020,211337316,8/07/2020,8263,421.89001,364.69,3486077,3013433.5
C1901,Australia y OceanIa,Solomon Islands,Snacks,Offline,Media,30/06/2022,190168464,15/08/2022,3929,152.58,97.440002,599486.81,382841.75
C4251,Africa,Seychelles ,Ropa,Offline,Media,16/04/2020,425159585,26/05/2020,3024,109.28,35.84,330462.72,108380.16
C2382,Asia,Kazakhstan,CArnicos,Online,Baja,7/08/2022,238234508,21/08/2022,7740,421.89001,364.69,3265428.5,2822700.5
C3716,Europa,Hungary,CosmEticos,Offline,Alta,26/06/2021,371629559,16/07/2021,2300,437.20001,263.32999,1005560,605659
C7378,Asia,Laos,Alimento infantil,Offline,Baja,13/04/2022,737893569,30/05/2022,7960,255.28,159.42,2032028.8,1268983.3
C8698,Africa,Yemen,Ropa,Online,CrItica,25/02/2022,869887864,15/04/2022,8005,109.28,35.84,874786.38,286899.19
C3707,Europa,Russia,Cuidado personal,Offline,Alta,1/02/2020,370786273,16/02/2020,2753,81.730003,56.669998,225002.69,156012.52
C2640,Asia,Philippines,Cereales,Offline,Alta,10/03/2021,264075124,11/03/2021,4552,205.7,117.11,936346.38,533084.75
C7435,Australia y OceanIa,Marshall Islands,Frutas,Online,Baja,22/12/2020,743553245,22/12/2020,2783,9.3299999,6.9200001,25965.391,19258.359
C7233,Africa,Burkina Faso,Cuidado personal,Online,CrItica,24/01/2021,723331964,11/02/2021,8857,81.730003,56.669998,723882.63,501926.19
C9878,Europa,Kosovo,Snacks,Offline,Media,23/01/2022,987835109,13/03/2022,1215,152.58,97.440002,185384.7,118389.6
C1417,Asia,North Korea,Material de oficina,Offline,Alta,7/02/2022,141799008,28/03/2022,333,651.21002,524.96002,216852.94,174811.69
C4602,Asia,Bhutan,Snacks,Online,Alta,1/03/2021,460272490,16/03/2021,3713,152.58,97.440002,566529.56,361794.72
C2386,Europa,Switzerland,Material de oficina,Offline,Media,25/06/2022,238616883,2/07/2022,893,651.21002,524.96002,581530.5,468789.28
C5425,Africa,Libya,Cuidado personal,Offline,Alta,17/07/2022,542506015,7/08/2022,8440,81.730003,56.669998,689801.19,478294.81
C2579,CentroamErica y Caribe,Honduras,Verduras,Online,Alta,4/02/2021,257926213,23/02/2021,4953,154.06,90.93,763059.19,450376.28
C1411,Africa,Benin,Alimento infantil,Online,Media,2/08/2022,141176307,20/09/2022,6061,255.28,159.42,1547252.1,966244.63
C5688,Africa,Egypt,CArnicos,Online,Media,31/05/2020,568867623,22/06/2020,9426,421.89001,364.69,3976735.3,3437568
C1879,Europa,Cyprus,Bebida,Online,Media,5/04/2021,187923991,17/05/2021,9740,47.450001,31.790001,462163,309634.59
C8655,Africa,Morocco,Cereales,Online,Alta,4/10/2020,865581738,23/10/2020,3726,205.7,117.11,766438.19,436351.88
C9393,Europa,Estonia,Bebida,Offline,Alta,8/02/2022,939389693,15/02/2022,5140,47.450001,31.790001,243893,163400.59
C1672,Asia,South Korea,Alimento infantil,Online,CrItica,24/04/2020,167209184,16/05/2020,9768,255.28,159.42,2493575,1557214.5
C1772,Asia,Vietnam,CosmEticos,Online,Media,20/10/2020,177214038,6/11/2020,427,437.20001,263.32999,186684.41,112441.91
C4178,Africa,Syria,Snacks,Offline,Alta,29/10/2020,417890584,6/11/2020,1965,152.58,97.440002,299819.69,191469.59
C4080,Europa,Luxembourg,Ropa,Online,Baja,27/04/2022,408037650,27/04/2022,6263,109.28,35.84,684420.63,224465.92
C1867,CentroamErica y Caribe,Cuba,CosmEticos,Online,Alta,28/11/2021,186766564,12/12/2021,7232,437.20001,263.32999,3161830.5,1904402.5
C7635,Asia,Maldives,CArnicos,Offline,Alta,27/11/2020,763501155,2/12/2020,5813,421.89001,364.69,2452446.5,2119943
C9679,Asia,Taiwan,Bebida,Online,Media,10/01/2021,967977750,22/02/2021,4982,47.450001,31.790001,236395.91,158377.78
C6002,Europa,Bosnia and Herzegovina,Snacks,Offline,CrItica,7/02/2020,600245177,14/03/2020,4742,152.58,97.440002,723534.38,462060.47
C8806,Africa,Afghanistan,CosmEticos,Offline,Baja,28/01/2022,880664765,3/02/2022,7129,437.20001,263.32999,3116798.8,1877279.6
C3999,NorteamErica,Canada,Cereales,Online,Media,20/04/2021,399910342,4/05/2021,1212,205.7,117.11,249308.41,141937.31
C9689,Africa,Qatar,CArnicos,Offline,Media,4/02/2021,968968236,8/03/2021,8088,421.89001,364.69,3412246.3,2949612.8
C8691,Europa,Malta,Verduras,Offline,Baja,24/11/2020,869137275,15/12/2020,5889,154.06,90.93,907259.31,535486.75
C7020,Africa,Bahrain,Verduras,Online,CrItica,19/07/2020,702028787,25/07/2020,4773,154.06,90.93,735328.38,434008.88
C2395,Africa,Zambia,Frutas,Offline,Baja,19/09/2021,239566600,20/09/2021,1935,9.3299999,6.9200001,18053.551,13390.2
C6739,Asia,Bangladesh,Ropa,Online,CrItica,5/10/2020,673987042,7/11/2020,6598,109.28,35.84,721029.44,236472.31
C5678,Africa,Egypt,CArnicos,Offline,Media,1/08/2021,567838943,14/08/2021,5017,421.89001,364.69,2116622.3,1829649.8
C8039,Asia,Japan,Ropa,Online,CrItica,9/10/2022,803983628,1/11/2022,5477,109.28,35.84,598526.56,196295.69
C5355,CentroamErica y Caribe,Jamaica,CosmEticos,Offline,Media,21/11/2021,535594928,17/12/2021,3296,437.20001,263.32999,1441011.3,867935.69
C3361,Africa,Namibia,Alimento infantil,Online,Media,14/08/2022,336159169,17/08/2022,5823,255.28,159.42,1486495.5,928302.69
C8494,Australia y OceanIa,Federated States of Micronesia,CArnicos,Offline,CrItica,21/11/2021,849475181,12/12/2021,7438,421.89001,364.69,3138017.8,2712564.3
C5396,Africa,Iran,Ropa,Offline,Media,6/10/2022,539654290,18/10/2022,4552,109.28,35.84,497442.56,163143.69
C6411,Asia,Malaysia,Cereales,Online,Alta,20/07/2021,641120326,3/09/2021,606,205.7,117.11,124654.2,70968.656
C2086,Asia,Tajikistan,Verduras,Offline,CrItica,4/09/2020,208609616,5/09/2020,1076,154.06,90.93,165768.56,97840.68
C1671,Africa,Iran,CArnicos,Offline,Alta,20/07/2021,167170989,22/07/2021,8465,421.89001,364.69,3571298.8,3087100.8
C1621,Australia y OceanIa,Samoa ,CArnicos,Online,CrItica,3/04/2020,162165772,6/05/2020,7311,421.89001,364.69,3084437.8,2666248.5
C8092,Africa,Botswana,CosmEticos,Online,CrItica,5/06/2020,809267795,20/06/2020,9179,437.20001,263.32999,4013058.8,2417106
C5444,Europa,Austria,Alimento infantil,Online,CrItica,22/05/2020,544463384,25/06/2020,7669,255.28,159.42,1957742.4,1222592
C5740,Africa,Syria,Bebida,Online,Alta,17/04/2020,574051368,1/05/2020,3411,47.450001,31.790001,161851.95,108435.69
C8246,Africa,Senegal,Frutas,Online,CrItica,10/09/2020,824643075,23/10/2020,9066,9.3299999,6.9200001,84585.781,62736.719
C3931,Africa,Mauritius ,Cuidado personal,Offline,Media,11/02/2021,393162333,29/03/2021,4326,81.730003,56.669998,353563.97,245154.42
C6968,Africa,Cote d'Ivoire,Frutas,Online,Alta,28/06/2021,696845471,8/07/2021,915,9.3299999,6.9200001,8536.9502,6331.7998
C5232,CentroamErica y Caribe,Belize,Ropa,Offline,Alta,18/09/2020,523241317,3/10/2020,7588,109.28,35.84,829216.63,271953.91
C9802,Africa,Morocco,Cereales,Offline,Baja,15/12/2020,980211198,15/12/2020,5131,205.7,117.11,1055446.8,600891.44
C5459,Australia y OceanIa,Australia,DomEstico,Online,Baja,27/06/2020,545928943,10/08/2020,1361,668.27002,502.54001,909515.5,683956.94
C9188,Africa,Senegal,Verduras,Online,Baja,5/11/2020,918880879,13/12/2020,6127,154.06,90.93,943925.63,557128.13
C2678,CentroamErica y Caribe,Antigua and Barbuda ,Verduras,Offline,Alta,18/07/2022,267865836,30/07/2022,6308,154.06,90.93,971810.5,573586.44
C8819,Europa,Poland,Material de oficina,Online,Alta,8/10/2020,881995141,20/10/2020,817,651.21002,524.96002,532038.56,428892.31
C6206,Europa,Kosovo,Cuidado personal,Online,CrItica,17/02/2021,620692622,6/03/2021,5595,81.730003,56.669998,457279.34,317068.66
C5636,Asia,Malaysia,CArnicos,Online,Media,19/01/2021,563694608,11/02/2021,8616,421.89001,364.69,3635004.3,3142169
C9610,CentroamErica y Caribe,Guatemala,Bebida,Online,Alta,26/08/2022,961049926,9/09/2022,4885,47.450001,31.790001,231793.25,155294.16
C7831,Australia y OceanIa,Vanuatu,Material de oficina,Online,Baja,24/09/2022,783119904,30/10/2022,1437,651.21002,524.96002,935788.75,754367.5
C8705,CentroamErica y Caribe,Nicaragua,Cuidado personal,Online,Alta,13/10/2022,870578372,6/11/2022,2341,81.730003,56.669998,191329.94,132664.47
C7844,Africa,Lesotho,Snacks,Offline,Media,3/11/2021,784411656,29/11/2021,3695,152.58,97.440002,563783.13,360040.81
C1559,Asia,Turkmenistan,DomEstico,Offline,CrItica,10/10/2020,155918586,7/11/2020,8629,668.27002,502.54001,5766502,4336417.5
C9367,Africa,Saudi Arabia,CosmEticos,Offline,CrItica,7/11/2020,936710488,8/12/2020,2304,437.20001,263.32999,1007308.8,606712.31
C6487,Asia,Japan,Snacks,Online,Media,24/04/2022,648711192,16/05/2022,6912,152.58,97.440002,1054633,673505.25
C9341,Europa,Latvia,DomEstico,Online,CrItica,1/02/2020,934157025,3/02/2020,6678,668.27002,502.54001,4462707,3355962
C8055,NorteamErica,Greenland,Ropa,Online,CrItica,11/05/2022,805596816,23/05/2022,2855,109.28,35.84,311994.41,102323.2
C6958,CentroamErica y Caribe,Costa Rica,Cereales,Online,Alta,30/07/2020,695891892,3/08/2020,8730,205.7,117.11,1795761,1022370.3
C2082,Asia,Japan,Cuidado personal,Offline,Baja,24/04/2022,208216083,13/05/2022,4621,81.730003,56.669998,377674.34,261872.06
C3660,Europa,Cyprus,Cereales,Offline,CrItica,25/03/2021,366055715,5/04/2021,2875,205.7,117.11,591387.5,336691.25
C4632,Africa,Pakistan,CArnicos,Online,Baja,3/06/2021,463209617,27/06/2021,2874,421.89001,364.69,1212511.9,1048119.1
C3137,Europa,Monaco,CosmEticos,Online,Media,25/08/2021,313789117,7/09/2021,6028,437.20001,263.32999,2635441.5,1587353.3
C7022,Asia,China,Cereales,Offline,CrItica,6/07/2022,702218043,29/07/2022,779,205.7,117.11,160240.3,91228.688
C2332,Australia y OceanIa,New Zealand,CArnicos,Online,Alta,26/02/2022,233232724,8/03/2022,7601,421.89001,364.69,3206786,2772008.8
C2818,CentroamErica y Caribe,Guatemala,Alimento infantil,Offline,Baja,20/07/2020,281881988,11/08/2020,3999,255.28,159.42,1020864.8,637520.56
C9435,Africa,Libya,Snacks,Online,Media,6/12/2020,943527162,22/12/2020,9509,152.58,97.440002,1450883.3,926556.94
C5838,Europa,Liechtenstein,CArnicos,Offline,Media,24/08/2022,583842074,4/10/2022,699,421.89001,364.69,294901.13,254918.31
C7888,Africa,Democratic Republic of the Congo,Alimento infantil,Online,Alta,3/08/2022,788813054,9/08/2022,6167,255.28,159.42,1574311.8,983143.13
C5147,Asia,Mongolia,Cuidado personal,Online,CrItica,4/05/2022,514738929,16/05/2022,1543,81.730003,56.669998,126109.39,87441.813
C1382,Europa,Bosnia and Herzegovina,Frutas,Offline,Media,7/01/2021,138231027,28/01/2021,4487,9.3299999,6.9200001,41863.711,31050.039
C1062,CentroamErica y Caribe,Cuba,Cereales,Online,CrItica,13/06/2022,106213176,15/07/2022,9694,205.7,117.11,1994055.8,1135264.4
C4859,Asia,Bhutan,Snacks,Offline,Media,6/04/2022,485921704,15/04/2022,3885,152.58,97.440002,592773.31,378554.41
C5149,Asia,Laos,Material de oficina,Online,Alta,18/10/2020,514905440,22/10/2020,817,651.21002,524.96002,532038.56,428892.31
C8510,Asia,Turkmenistan,Cuidado personal,Online,Baja,23/08/2021,851025712,27/09/2021,6275,81.730003,56.669998,512855.75,355604.25
C4224,Australia y OceanIa,Papua New Guinea,Alimento infantil,Offline,Baja,24/08/2021,422456347,26/08/2021,3076,255.28,159.42,785241.25,490375.91
C4776,Africa,Qatar,CosmEticos,Offline,Alta,29/11/2020,477683675,23/12/2020,6069,437.20001,263.32999,2653366.8,1598149.8
C5355,Australia y OceanIa,Palau,Ropa,Online,Baja,19/05/2021,535506522,25/05/2021,7135,109.28,35.84,779712.81,255718.41
C6350,Asia,Philippines,Cereales,Online,Baja,15/07/2022,635036218,31/07/2022,184,205.7,117.11,37848.801,21548.24
C8856,Australia y OceanIa,Papua New Guinea,CArnicos,Offline,Baja,31/10/2022,885696589,11/11/2022,6158,421.89001,364.69,2597998.5,2245761
C1172,Africa,Liberia,Verduras,Offline,Baja,14/02/2021,117223966,25/02/2021,8031,154.06,90.93,1237255.9,730258.81
C8296,Africa,Iran,Ropa,Offline,Alta,16/12/2020,829667174,9/01/2021,5809,109.28,35.84,634807.5,208194.56
C6433,CentroamErica y Caribe,Guatemala,Bebida,Offline,CrItica,28/07/2020,643387544,20/08/2020,1527,47.450001,31.790001,72456.148,48543.328
C8490,Australia y OceanIa,Tuvalu,Snacks,Offline,Baja,9/01/2020,849058902,25/01/2020,4252,152.58,97.440002,648770.19,414314.88
